what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1274847444068
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20090819_35x,"org.eclipse.help.webapp",1274847444068
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1274847444068
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1274847444068
stopped,bundle,org.eclipse.cdt,5.1.0.200909110608,"org.eclipse.cdt",1274847444068
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.200909110608,"org.eclipse.cdt.doc.user",1274847444068
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1274847444068
stopped,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1274847444068
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1274847444068
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1274847444068
stopped,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1274847444068
stopped,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1274847444068
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1274847444068
stopped,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1274847444068
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1274847444068
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.ui,5.0.100.200909110608,"org.eclipse.cdt.debug.gdbjtag.ui",1274847444068
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1274847444068
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1274847444068
stopped,bundle,org.eclipse.cdt.examples.dsf,2.0.0.200909110608,"org.eclipse.cdt.examples.dsf",1274847444068
stopped,bundle,org.eclipse.cdt.examples.dsf.pda.ui,2.0.0.200909110608,"org.eclipse.cdt.examples.dsf.pda.ui",1274847444068
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1274847444068
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.core,5.0.100.200909110608,"org.eclipse.cdt.debug.gdbjtag.core",1274847444068
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1274847444068
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1274847444068
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1274847444068
